dataset,metric,method_a,method_b,n_pairs,mean_difference,sd_difference,cohens_dz,correction_factor,corrected_se,t_statistic,df,p_value,p_value_holm,significant_holm_05
KSDD2,validation_macro_f1,gp_modified,cnn,10,-0.030755943834389333,0.02246846726889354,-1.3688492172747977,0.35,0.01329252449667365,-2.31377748012319,9,0.045951505035594725,0.22975752517797363,False
KSDD2,validation_macro_f1,gp_modified,mlp,10,0.34621430467359093,0.02276152452827279,15.210505967803146,0.35,0.013465899509424065,25.710447670524648,9,9.814212865647589e-10,9.814212865647589e-09,True
KSDD2,validation_macro_f1,eoh,cnn,10,-0.05961818375238237,0.038083072537798114,-1.5654772522151483,0.35,0.02253024955191836,-2.6461395207806797,9,0.026644268379796048,0.15986561027877627,False
KSDD2,validation_macro_f1,eoh,mlp,10,0.3173520647555978,0.0390024602260249,8.136719143266774,0.35,0.023074166643433282,13.753565606925768,9,2.3906964384541004e-07,1.6734875069178703e-06,True
KSDD2,validation_macro_f1,cnn,mlp,10,0.3769702485079802,0.031210806185663683,12.078196451110484,0.35,0.018464561948924534,20.415878240205792,9,7.571780836689612e-09,6.81460275302065e-08,True
MVTEC,validation_macro_f1,gp_original,gp_modified,10,-0.017217172381947254,0.049590801799339786,-0.34718479551134157,0.35,0.029338313995277414,-0.5868494142069207,9,0.5717296889839473,0.8287886036157955,False
MVTEC,validation_macro_f1,gp_original,eoh,10,0.16731039037829312,0.06886583730448088,2.4295121779838835,0.35,0.04074157878232667,4.106625108275648,9,0.002650337705726724,0.02233048748732845,True
MVTEC,validation_macro_f1,gp_original,cnn,10,0.030000818175200072,0.05926620509187958,0.5062044740116263,0.35,0.035062359776510434,0.8556417299470734,9,0.41439430180789777,0.8287886036157955,False
MVTEC,validation_macro_f1,gp_original,mlp,10,0.09679516335527781,0.0643362984671507,1.50451868791768,0.35,0.0380618674680973,2.543100740824385,9,0.031549863911968644,0.18929918347181185,False
MVTEC,validation_macro_f1,gp_modified,eoh,10,0.18452756276024035,0.07514290224320065,2.4556885248192213,0.35,0.044455140480443016,4.150871210077918,9,0.002481165276369828,0.02233048748732845,True
MVTEC,validation_macro_f1,gp_modified,cnn,10,0.04721799055714733,0.04670952136127913,1.0108857719165092,0.35,0.02763372550037231,1.708708822359517,9,0.12167864765473155,0.5754632556978103,False
MVTEC,validation_macro_f1,gp_modified,mlp,10,0.11401233573722507,0.056946871783839094,2.002082505427112,0.35,0.03369022368711364,3.3841370955585037,9,0.008073817219970287,0.05651672053979201,False
MVTEC,validation_macro_f1,eoh,cnn,10,-0.13730957220309298,0.054553604588898595,-2.5169660783704626,0.35,0.03227434772035934,-4.254449180284291,9,0.0021284743402468667,0.021284743402468668,True
MVTEC,validation_macro_f1,eoh,mlp,10,-0.07051522702301528,0.06833729789376379,-1.0318702845499872,0.35,0.040428890650095195,-1.7441791226306935,9,0.11509265113956207,0.5754632556978103,False
MVTEC,validation_macro_f1,cnn,mlp,10,0.06679434518007774,0.06690908006552038,0.9982852120320548,0.35,0.039583945588141864,1.6874099887629006,9,0.12579751435844308,0.5754632556978103,False
STL10,validation_macro_f1,gp_original,gp_modified,10,0.0040013381359778775,0.06736645928834041,0.059396592581056395,0.35,0.039854534785475404,0.10039856587251211,9,0.922228852528217,0.922228852528217,False
STL10,validation_macro_f1,gp_original,eoh,10,0.22268155252101002,0.05061835833462251,4.399225100287336,0.35,0.02994622463971522,7.436047622032654,9,3.949876107118308e-05,0.00023699256642709847,True
STL10,validation_macro_f1,gp_original,cnn,10,-0.07531639878385352,0.05102240737420478,-1.4761435741648476,0.35,0.030185263275160565,-2.495138044591161,9,0.034133038367234705,0.06826607673446941,False
STL10,validation_macro_f1,gp_original,mlp,10,0.12485566642368792,0.049008585570090475,2.547628440431594,0.35,0.028993870228951984,4.306278031796274,9,0.001972416137681347,0.007889664550725388,True
STL10,validation_macro_f1,gp_modified,eoh,10,0.2186802143850321,0.0336732808264449,6.4941760653537,0.35,0.019921381592796657,10.977161065179553,9,1.6383953123460451e-06,1.1468767186422317e-05,True
STL10,validation_macro_f1,gp_modified,cnn,10,-0.0793177369198314,0.043818704212111995,-1.8101342416672164,0.35,0.025923495011089776,-3.0596853119496497,9,0.013578529014121286,0.04073558704236386,True
STL10,validation_macro_f1,gp_modified,mlp,10,0.12085432828771006,0.03306594475339784,3.6549485940603934,0.35,0.019562076726466576,6.177990710168302,9,0.0001631243816913255,0.0008156219084566275,True
STL10,validation_macro_f1,eoh,cnn,10,-0.2979979513048635,0.013885578594353421,-21.46096752684433,0.35,0.008214819079869507,-36.27565603180603,9,4.5522177355479903e-11,4.5522177355479905e-10,True
STL10,validation_macro_f1,eoh,mlp,10,-0.09782588609732208,0.012755573451307251,-7.669266024829047,0.35,0.007546299021712102,-12.963425623058251,9,3.9780438331040263e-07,3.182435066483221e-06,True
STL10,validation_macro_f1,cnn,mlp,10,0.20017206520754147,0.021290568454136176,9.40191266563639,0.35,0.012595670160221348,15.892132983897046,9,6.823486203948499e-08,6.141137583553648e-07,True
